headline,web_url,pub_date,byline,section,full_text
Why Trump’s Plan to Relocate Gazans Is Untenable for Jordan,https://www.nytimes.com/2025/02/14/world/middleeast/trump-gaza-takeover-jordan.html,2025-02-14T14:17:50+0000,By Ephrat Livni,World,
"Pro-Palestinian Group Is Relentless in Its Criticism of Israel, and It Isn’t Backing Down",https://www.nytimes.com/2024/10/05/us/within-our-lifetime-pro-palestinian-activism.html,2024-10-05T09:00:40+0000,By Sharon Otterman,U.S.,
Protest That the University of Maryland Sought to Prevent Goes On,https://www.nytimes.com/2024/10/07/us/umd-pro-palestinian-protest-oct-7.html,2024-10-08T01:10:29+0000,By Vimal Patel and JoAnna Daemmrich,U.S.,
Promoting Peace as War Rages: Israeli and Palestinian Activists Meet,https://www.nytimes.com/video/world/100000009244709/israel-palestine-peace-activists.html,2024-02-10T09:55:01+0000,"By Guy Barak, David Blumenfeld, Adam Sella, Alexandra Eaton and Emily Rhyne",World,
Israel’s Occupation of Palestinian Territories Draws Focus of U.N. Court,https://www.nytimes.com/2024/02/19/world/middleeast/israel-palestinians-icj-hearing.html,2024-02-19T10:37:36+0000,By Marlise Simons,World,
"An Unexpected Player in Israel’s Defense: Jordan, Home to Many Palestinians",https://www.nytimes.com/2024/04/14/world/middleeast/jordan-israel-iran-drones.html,2024-04-14T14:28:03+0000,By Liam Stack,World,
Dave Chappelle Laments ‘Nightmare’ Facing Israelis and Palestinians,https://www.nytimes.com/2023/10/26/arts/dave-chappelle-israel-hamas.html,2023-10-26T13:10:57+0000,By Jonathan Abrams,Arts,
U.N. Body Demands Israel End Its ‘Unlawful Presence in the Occupied Palestinian Territory’,https://www.nytimes.com/2024/09/18/world/middleeast/un-israel-occupation-palestinian.html,2024-09-18T23:05:39+0000,By Anushka Patil,World,
"Israeli Minister Will Release Palestinian Funds if Settlements Are Legalized, Officials Say",https://www.nytimes.com/2024/06/29/world/middleeast/israel-funds-palestinian-authority-smotrich.html,2024-06-28T09:48:42+0000,By Aaron Boxerman and Adam Rasgon,World,
Three European Countries Formally Recognize Palestinian Statehood,https://www.nytimes.com/2024/05/28/world/middleeast/spain-norway-ireland-palestinian-statehood.html,2024-05-28T09:44:55+0000,By Cassandra Vinograd,World,
How Biden’s Support for Israel Could Complicate His Re-Election,https://www.nytimes.com/2023/10/25/opinion/palestine-biden-activists-israel.html,2023-10-25T23:00:16+0000,By Charles M. Blow,Opinion,
Murals in Tehran Offer Tributes and Threats Against Israel,https://www.nytimes.com/2024/10/25/world/middleeast/iran-israel-war-tehran-murals.html,2024-10-25T22:00:08+0000,By Farnaz Fassihi and Arash Khamooshi,World,
The U.S. Must Embrace Palestinian Statehood Now,https://www.nytimes.com/2023/12/15/opinion/us-palestine-statehood-recognition.html,2023-12-15T10:02:58+0000,By R. David Harden and Larry Garber,Opinion,
The War Is Shifting Europe’s Politics Away From Israel,https://www.nytimes.com/2024/05/22/world/middleeast/europe-israel-palestinian-state.html,2024-05-22T18:20:32+0000,By Matina Stevis-Gridneff,World,
"Fraternity Brothers Balk at a $515,000 Party for Defending the Flag",https://www.nytimes.com/2024/09/02/us/unc-israel-gaza-protests-party-alpha-epsilon-pi.html,2024-09-02T07:00:56+0000,By Eduardo Medina,U.S.,
The Left Is Dooming Any Hope for a Palestinian State,https://www.nytimes.com/2023/11/28/opinion/palestine-state-israel-war.html,2023-11-28T20:31:48+0000,By Bret Stephens,Opinion,
Saudi Arabia Pledges to Send Funding for Palestinians,https://www.nytimes.com/2024/09/30/world/middleeast/saudi-arabia-palestine-financial-aid.html,2024-09-30T14:46:26+0000,By Adam Rasgon and Aaron Boxerman,World,
"Accused of Genocide, Israelis See Reversal of Reality. Palestinians See Justice.",https://www.nytimes.com/2024/01/12/world/middleeast/israel-palestinians-icj-genocide.html,2024-01-12T09:52:07+0000,By Patrick Kingsley,World,
How the Israeli-Palestinian Conflict Drove a Wedge Into the Democratic Party,https://www.nytimes.com/2024/02/07/magazine/israel-october-7-democrats.html,2024-02-07T10:02:24+0000,By Ross Barkan,Magazine,
Brown Rejects Protesters’ Push to Divest Over Israel Ties,https://www.nytimes.com/2024/10/09/us/brown-university-divestment-israel-hamas-war.html,2024-10-09T20:05:09+0000,By Dana Goldstein,U.S.,
Turkey Halts Trade With Israel Amid Deteriorating Relations,https://www.nytimes.com/2024/05/03/world/middleeast/turkey-israel-trade-ties.html,2024-05-02T20:53:38+0000,By Gulsin Harman and Ben Hubbard,World,
"U.S. and Allies Penalize Iran for Striking Israel, and Try to Avert War",https://www.nytimes.com/2024/04/18/world/middleeast/israel-iran-sanctions.html,2024-04-18T23:57:41+0000,By Michael D. Shear and Michael Levenson,World,
Tracing the Deep Roots of Ireland’s Support for Palestinians,https://www.nytimes.com/2023/12/02/world/europe/ireland-palestinians-support.html,2023-12-02T10:02:05+0000,By Megan Specia,World,
How Iran and Israel Are Unnatural Adversaries,https://www.nytimes.com/2024/05/08/opinion/iran-israel-middle-east.html,2024-05-08T05:00:07+0000,By Karim Sadjadpour,Opinion,
White House Condemns Protest at Israeli Restaurant in Philadelphia,https://www.nytimes.com/2023/12/04/us/white-house-philadelphia-protesters.html,2023-12-04T22:59:18+0000,By Johnny Diaz,U.S.,
2 Books Go Behind Bars With Palestinians,https://www.nytimes.com/2024/05/01/books/review/my-brother-my-land-sami-hermez-the-tale-of-a-wall-nasser-abu-srour.html,2024-05-01T09:00:25+0000,By Robyn Creswell,Books,
The Deadly Red Tape of Israel’s Occupation in Palestine,https://www.nytimes.com/2023/10/01/books/review/a-day-in-the-life-of-abed-salama-nathan-thrall.html,2023-10-01T09:00:32+0000,By Rozina Ali,Books,
U.S. Continues Push for Saudi-Israel Ties Even as War With Hamas Begins,https://www.nytimes.com/2023/10/08/us/politics/saudi-arabia-israel-palestinians-hamas.html,2023-10-09T00:01:24+0000,"By Edward Wong, Mark Mazzetti and Vivian Nereim",U.S.,
White House Defends Voting ‘No’ on U.N. Resolution Supporting Palestinian Statehood,https://www.nytimes.com/2024/05/10/world/middleeast/united-nations-us-palestinian-membership.html,2024-05-10T21:26:01+0000,By Erica L. Green,World,
"Recognizing a Palestinian State, Ireland Nods to its Own History",https://www.nytimes.com/2024/05/22/world/middleeast/ireland-palestinian-state-history.html,2024-05-22T10:29:55+0000,By Megan Specia,World,
An Arab Mandate for Palestine,https://www.nytimes.com/2024/03/19/opinion/gaza-war-palestine-arab-mandate.html,2024-03-19T23:00:06+0000,By Bret Stephens,Opinion,
"U.N. Court Orders Israel to Prevent Genocide, but Does Not Demand Stop to War",https://www.nytimes.com/2024/01/26/world/middleeast/icj-israel-gaza-genocide.html,2024-01-27T00:00:13+0000,"By Patrick Kingsley, Raja Abdulrahim, Aaron Boxerman and Michael Levenson",World,
Images of Watermelons Signal Support for Palestinians,https://www.nytimes.com/2023/12/27/style/watermelon-emoji-palestine.html,2023-12-27T17:54:53+0000,By Callie Holtermann,Style,
Protests Erupt Across the Middle East Over Israel’s Siege of Gaza,https://www.nytimes.com/2023/10/13/world/middleeast/gaza-israel-protests-mideast.html,2023-10-13T16:15:44+0000,"By Vivian Nereim, Euan Ward and Nazeeha Saeed",World,
"When It Comes to Israel, Who Decides What You Can and Can’t Say?",https://www.nytimes.com/2023/11/04/opinion/sunday/israel-palestine-speech-debate.html,2023-11-04T11:00:53+0000,By Michelle Goldberg,Opinion,
Rashida Tlaib Draws Attack Ads From Pro-Israel Democratic Group,https://www.nytimes.com/2023/11/02/us/politics/rashida-tlaib-israel-ads.html,2023-11-02T08:00:08+0000,By Reid J. Epstein,U.S.,
Why Norway’s Recognition of a Palestinian State Carries Significance,https://www.nytimes.com/2024/05/22/world/middleeast/norway-israel-palestinian-recognition.html,2024-05-22T08:40:25+0000,By Emma Bubola,World,
What Does It Mean to Recognize a Palestinian State?,https://www.nytimes.com/2024/05/22/world/middleeast/palestinian-state.html,2024-05-22T16:07:19+0000,By Matthew Mpoke Bigg,World,
G.O.P. Candidates Call for Campus Crackdowns Against Anti-Israel Speech,https://www.nytimes.com/2023/10/25/us/politics/trump-republicans-colleges-israel-hamas.html,2023-10-25T19:20:19+0000,By Maggie Astor,U.S.,
U.S. Vetoes Palestinian Bid for Recognition as Full U.N. Member State,https://www.nytimes.com/2024/04/18/world/middleeast/palestinian-statehood-un-veto.html,2024-04-18T21:35:13+0000,By Yonette Joseph,World,
Columbia Closes Campus as Israel-Hamas War Protests Erupt,https://www.nytimes.com/2023/10/12/nyregion/columbia-university-israel-hamas-protests.html,2023-10-12T18:15:41+0000,By Liam Stack,New York,
Israeli Military Announces Ground Invasion of Southern Lebanon,https://www.nytimes.com/2024/09/30/world/middleeast/israel-hezbollah-lebanon-ground-invasion.html,2024-09-30T21:24:57+0000,"By Patrick Kingsley, Julian E. Barnes, Ronen Bergman and Natan Odenheimer",World,
The Case for Hope for Palestinians,https://www.nytimes.com/2025/01/03/opinion/palestinians-israel-gaza.html,2025-01-03T06:00:05+0000,By Khaled Elgindy,Opinion,
Oakland Educators Hold Unauthorized Teach-in Supporting Palestinians,https://www.nytimes.com/2023/12/06/us/oakland-california-teachers-palestinians-israel.html,2023-12-06T10:03:32+0000,By Dana Goldstein,U.S.,
Germany’s Stifling of Pro-Palestinian Voices Pits Historical Guilt Against Free Speech,https://www.nytimes.com/2023/11/10/world/europe/germany-pro-palestinian-protests.html,2023-11-10T10:03:02+0000,By Erika Solomon,World,
Inside the Pro-Palestinian Group Protesting Across College Campuses,https://www.nytimes.com/2023/11/17/us/students-justice-palestine-campus-protests.html,2023-11-17T19:25:47+0000,By Alan Blinder,U.S.,
Israel-E.U. Meeting on Gaza’s Future Yields Division and Confusion,https://www.nytimes.com/2024/01/22/world/middleeast/israel-gaza-eu-postwar.html,2024-01-23T01:00:15+0000,"By Matina Stevis-Gridneff, Hiba Yazbek, Adam Rasgon, Monika Pronczuk and Michael Levenson",World,
House Declares Solidarity With Israel in First Legislation Under New Speaker,https://www.nytimes.com/2023/10/25/us/politics/house-israel-vote.html,2023-10-25T22:25:53+0000,By Karoun Demirjian,U.S.,
"The Political Future of Palestinians, According to Palestinians",https://www.nytimes.com/2025/02/08/opinion/palestinians-political-future-gaza.html,2025-02-08T12:00:09+0000,,Opinion,
"After Backlash, Marvel Gives an Israeli Superhero a New Backstory",https://www.nytimes.com/2024/07/16/movies/sabra-israeli-superhero-marvel.html,2024-07-16T21:19:55+0000,By Marc Tracy,Movies,
What a ‘Free Palestine’ Means in Practice,https://www.nytimes.com/2024/05/14/opinion/what-a-free-palestine-means-in-practice.html,2024-05-14T23:00:06+0000,By Bret Stephens,Opinion,
"New Israeli Settlement in West Bank Would Encroach on World Heritage Site, Activists Say",https://www.nytimes.com/2024/08/15/world/middleeast/israel-west-bank-settlement.html,2024-08-15T16:43:04+0000,By Ephrat Livni,World,
"Democrats Splinter Over Israel as the Young, Diverse Left Rages at Biden",https://www.nytimes.com/2023/10/27/us/politics/biden-democrats-israel-2024.html,2023-10-27T09:04:22+0000,By Reid J. Epstein and Anjali Huynh,U.S.,
"Where Israelis, Palestinians and Iranians Must Listen to One Another",https://www.nytimes.com/2023/10/31/arts/music/israeli-palestinian-barenboim-peacemaking.html,2023-10-31T14:00:32+0000,By Javier C. Hernández,Arts,
Ocasio-Cortez Loses the Democratic Socialists’ Endorsement Over Israel,https://www.nytimes.com/2024/07/11/us/politics/aoc-dsa-endorsement.html,2024-07-11T19:22:01+0000,By Nicholas Fandos,U.S.,
"Isolated and Defiant, Israel Vows to ‘Stand Alone’ in War on Hamas",https://www.nytimes.com/2024/05/11/world/middleeast/isolated-israel-war-hamas.html,2024-05-11T09:03:41+0000,By Damien Cave,World,
Israel Is Not an I.C.C. Member. How Can the Court Prosecute Israeli Leaders?,https://www.nytimes.com/2024/11/22/world/middleeast/israel-icc-jurisdiction-explained.html,2024-11-23T02:13:37+0000,By Eve Sampson and Marlise Simons,World,
"Israel vs. Hamas, Hezbollah, Iran — and Itself",https://www.nytimes.com/2024/09/20/opinion/ezra-klein-podcast-david-remnick.html,2024-09-20T09:03:01+0000,By Ezra Klein,Opinion,
Protesters fill the streets in New York to support Palestinians in Gaza.,https://www.nytimes.com/2023/10/28/nyregion/palestine-protest-brooklyn-barclays-center-nyc.html,2023-10-29T01:55:09+0000,"By Erin Nolan, Eliza Fawcett and Nate Schweber",New York,
From Ferguson to Gaza: How African Americans Bonded With Palestinian Activists,https://www.nytimes.com/2024/02/06/us/african-americans-palestinian.html,2024-02-06T10:01:13+0000,By Clyde McGrady,U.S.,
The Massacre in Israel and the Need for a Decent Left,https://www.nytimes.com/2023/10/12/opinion/columnists/israel-gaza-massacre-left.html,2023-10-12T09:02:00+0000,By Michelle Goldberg,Opinion,
"A Watershed Moment for the Politics of Israel, Courtesy of Chuck Schumer",https://www.nytimes.com/2024/03/15/us/politics/israel-schumer.html,2024-03-15T23:13:07+0000,By Jonathan Weisman,U.S.,
The Great Rupture in American Jewish Life,https://www.nytimes.com/2024/03/22/opinion/israel-american-jews-zionism.html,2024-03-22T09:04:25+0000,By Peter Beinart,Opinion,
"Shlomo Avineri, Israeli Scholar Skeptical About Peace, Dies at 90",https://www.nytimes.com/2023/12/10/world/middleeast/shlomo-avineri-dead.html,2023-12-10T21:56:46+0000,By Adam Nossiter,World,
Dutch Court Issues Prison Sentences Over Violence Against Israeli Soccer Fans,https://www.nytimes.com/2024/12/24/world/europe/amsterdam-israel-soccer-fans-attacks.html,2024-12-24T12:17:32+0000,"By Claire Moses, Lynsey Chutel and Rosanne Kropman",World,
A Palestinian Restaurant Perseveres in War’s Shadow,https://www.nytimes.com/2023/10/15/nyregion/palestinian-restaurant-brooklyn-israel.html,2023-10-15T07:01:05+0000,By Winnie Hu,New York,
The Subversive Act of Photographing Palestinian Life,https://www.nytimes.com/2024/01/19/opinion/palestinians-photography-war-israel.html,2024-01-19T10:01:13+0000,By Adam Rouhana,Opinion,
The U.S. Should Think Twice About Israel’s Plans for Gaza,https://www.nytimes.com/2023/10/15/opinion/israel-united-states-gaza.html,2023-10-15T10:00:09+0000,By Rashid Khalidi,Opinion,
What Is Palestinian Islamic Jihad?,https://www.nytimes.com/2024/08/29/world/middleeast/palestinian-islamic-jihad-muhammad-jaber.html,2024-08-29T21:52:45+0000,By Eve Sampson,World,
18 Arrested at Israeli Nationalist Flag March Through East Jerusalem,https://www.nytimes.com/2024/06/05/world/middleeast/israeli-palestinian-jerusalem-flag-march.html,2024-06-05T18:41:09+0000,By Aaron Boxerman,World,
"At Venice Biennale, Israel’s Show Is Halted, but Protests Go On",https://www.nytimes.com/2024/04/17/arts/design/israel-gaza-protest-venice-biennale.html,2024-04-17T14:55:25+0000,By Zachary Small,Arts,
"Who was Marwan Issa, the Hamas commander killed by Israel?",https://www.nytimes.com/2024/03/18/world/middleeast/who-was-marwan-issa.html,2024-03-18T20:08:03+0000,By Adam Rasgon,World,
Primary Battles Brew Over Progressive Democrats’ Stances on Israel,https://www.nytimes.com/2023/10/29/us/politics/democrats-israel-palestine-primaries.html,2023-10-29T09:02:11+0000,By Jonathan Weisman,U.S.,
U.N. General Assembly Adopts Resolution in Support of Palestinian Statehood,https://www.nytimes.com/2024/05/10/world/middleeast/un-resolution-palestinian.html,2024-05-10T15:28:36+0000,By Farnaz Fassihi,World,
Why Harris Remains Unlikely to Break From Biden on Israel and Gaza,https://www.nytimes.com/2024/10/18/us/politics/harris-israel-gaza-war-biden-trump.html,2024-10-18T19:38:10+0000,By Katie Rogers and Erica L. Green,U.S.,
Google’s Open Culture Collides With the Israel-Hamas War,https://www.nytimes.com/2023/11/08/business/israel-palestine-google-employees.html,2023-11-08T13:48:46+0000,By Santul Nerkar and Mike Isaac,Business Day,
Saudi Crown Prince Says No to Israel Ties Without Palestinian State,https://www.nytimes.com/2024/09/19/world/middleeast/saudi-israel-relations.html,2024-09-19T12:43:39+0000,By Ismaeel Naar and Adam Rasgon,World,
"With War in Israel, the Cancel Culture Debate Comes Full Circle",https://www.nytimes.com/2023/10/23/opinion/israel-cancel-culture-debate.html,2023-10-23T23:07:39+0000,By Michelle Goldberg,Opinion,
Slaughter at a Festival of Peace and Love Leaves Israel Transformed,https://www.nytimes.com/2023/10/15/world/middleeast/israel-music-festival-massacre.html,2023-10-15T09:04:24+0000,"By Roger Cohen, Sergey Ponomarev and Avishag Shaar-Yashuv",World,
Holocaust Museums Debate What to Say About the Israel-Hamas War,https://www.nytimes.com/2024/06/03/us/holocaust-museums-israel-hamas-war.html,2024-06-03T15:41:20+0000,By Dana Goldstein and Marc Tracy,U.S.,
How Pro-Palestinian Students Pushed Trinity College Dublin to Divest,https://www.nytimes.com/2024/05/10/world/europe/ireland-trinity-dublin-palestinian-protests-divest.html,2024-05-10T09:42:40+0000,By Isabella Kwai and Ed O'Loughlin,World,
"American Unions Long Backed Israel. Now, Some Are Protesting It.",https://www.nytimes.com/2024/01/07/business/american-unions-long-backed-israel-now-some-are-protesting-it.html,2024-01-07T10:00:38+0000,By Emma Goldberg and Santul Nerkar,Business Day,
"The Two-State Solution Is an Unjust, Impossible Fantasy",https://www.nytimes.com/2024/04/01/opinion/two-state-solution-israel-palestine.html,2024-04-01T09:02:37+0000,By Tareq Baconi,Opinion,
"Tracking Cellphone Data by Neighborhood, Israel Gauges Gaza Evacuation",https://www.nytimes.com/2023/10/16/world/middleeast/gaza-invasion-israel-cellphone-data.html,2023-10-16T21:59:56+0000,By Patrick Kingsley and Ronen Bergman,World,
Yemen’s Houthi militia claims to have launched an attack on Israel.,https://www.nytimes.com/2023/10/31/world/middleeast/yemen-houthi-militia-israel.html,2023-10-31T20:54:31+0000,By Vivian Nereim and Saeed Al-Batati,World,
The Unpunished: How Extremists Took Over Israel,https://www.nytimes.com/2024/05/16/magazine/israel-west-bank-settler-violence-impunity.html,2024-05-16T09:05:22+0000,By Ronen Bergman and Mark Mazzetti,Magazine,
"Palestinian Citizens of Israel Are Wary, Weary and Afraid",https://www.nytimes.com/2023/10/14/world/europe/israeli-palestine-arabs-gaza-tensions.html,2023-10-14T09:02:43+0000,By Steven Erlanger,World,
Pro-Israel and Pro-Palestine Protesters Demonstrate at The Hague,https://www.nytimes.com/video/world/europe/100000009260715/genocide-hearing-protests.html,2024-01-11T16:51:13+0000,By Reuters,World,
College Protesters Make Divestment From Israel a Rallying Cry,https://www.nytimes.com/2024/04/24/business/college-protesters-divestment-israel.html,2024-04-24T20:17:19+0000,By Santul Nerkar,Business Day,
Tension Over the Israel-Hamas War Casts a Pall Over Frankfurt Book Fair,https://www.nytimes.com/2023/10/19/books/frankfurt-book-fair-israel-war-adania-shibli.html,2023-10-19T20:44:53+0000,By Alexandra Alter and Elizabeth A. Harris,Books,
What It Takes to Choose Life Over Revenge,https://www.nytimes.com/2023/10/19/opinion/israel-netanyahu-palestinians.html,2023-10-19T09:04:14+0000,By Ayman Odeh,Opinion,
Three Israeli Hostages Are Released for 183 Palestinian Prisoners,https://www.nytimes.com/video/world/middleeast/100000009979098/israel-palestine-hamas-prisoners-hostages.html,2025-02-08T22:32:10+0000,By McKinnon de Kuyper,World,
"If We Want to Live in a World With Rules, They Have to Apply to Israel, Too",https://www.nytimes.com/2024/01/28/opinion/israel-genocide-south-africa.html,2024-01-28T14:00:08+0000,By Lydia Polgreen,Opinion,
There Is a Jewish Hope for Palestinian Liberation. It Must Survive.,https://www.nytimes.com/2023/10/14/opinion/palestinian-ethical-resistance-answers-grief-and-rage.html,2023-10-14T11:00:31+0000,By Peter Beinart,Opinion,
Pro-Palestinian Group at Columbia Now Backs ‘Armed Resistance’ by Hamas,https://www.nytimes.com/2024/10/09/nyregion/columbia-pro-palestinian-group-hamas.html,2024-10-09T22:25:19+0000,By Sharon Otterman,New York,
N.Y.C. Protest Calling for Gaza Cease-Fire Targets Pro-Israel Senators,https://www.nytimes.com/2024/02/22/nyregion/aipac-gaza-protest-nyc.html,2024-02-23T00:49:43+0000,By Hurubie Meko and Olivia Bensimon,New York,
Drawings of a City Divided: New York Reacts to the Israel-Hamas War,https://www.nytimes.com/2023/11/11/opinion/israel-hamas-war-new-york-city.html,2023-11-11T12:00:47+0000,By Lucinda Rogers,Opinion,
"The Disastrous Relationship Among Israel, Palestinians and the U.N.",https://www.nytimes.com/2024/05/17/opinion/ezra-klein-podcast-asli-bali.html,2024-05-17T09:03:31+0000,By ‘The Ezra Klein Show',Opinion,
Did a Cafe’s Pro-Israel Stance Cause a Staff Revolt? It’s Complicated.,https://www.nytimes.com/2023/11/21/nyregion/new-york-coffee-shop-israel.html,2023-11-21T16:10:19+0000,By Katherine Rosman,New York,
I’m Going to War for Israel. Palestinians Are Not My Enemy.,https://www.nytimes.com/2023/10/13/opinion/israel-military-war.html,2023-10-13T09:34:36+0000,By Nir Avishai Cohen,Opinion,
Biden Shields Palestinians in the U.S. From Deportation,https://www.nytimes.com/2024/02/14/us/politics/biden-palestinians-deportation.html,2024-02-14T21:20:10+0000,By Hamed Aleaziz,U.S.,
"Trump Advisers Talk of Palestinian Expulsions, but Activists Focus on Biden",https://www.nytimes.com/2024/03/26/us/politics/trump-gaza.html,2024-03-26T20:25:31+0000,By Jonathan Weisman,U.S.,
Here is a timeline of the clashes between Palestinian militants and Israel.,https://www.nytimes.com/2023/10/07/world/middleeast/israel-gaza-conflict-timeline.html,2023-10-07T21:04:18+0000,By Emma Bubola,World,
"In a Grim Palestinian Refugee Community, People See Hope in Hamas",https://www.nytimes.com/2024/08/24/world/middleeast/palestinian-refugees-hamas-lebanon.html,2024-08-24T04:01:36+0000,By Maria Abi-Habib and Hwaida Saad,World,
Trump Pushes Jordan and Egypt to Take in Palestinians to ‘Clean Out’ Gaza,https://www.nytimes.com/2025/01/26/world/middleeast/trump-gaza-jordan-egypt.html,2025-01-26T14:13:18+0000,By Zolan Kanno-Youngs and Vivian Yee,World,
What to Know About the Attacks on Israeli Soccer Fans in Amsterdam,https://www.nytimes.com/2024/11/08/world/europe/amsterdam-israel-soccer-fans-attacks.html,2024-11-08T21:35:07+0000,"By Eve Sampson, Lynsey Chutel, Christopher F. Schuetze and Jim Tankersley",World,
"Jenin, a Target of Israeli Raids, Is Symbol of Palestinian Opposition and Militancy",https://www.nytimes.com/2024/08/28/world/middleeast/jenin-west-bank-history-israel-palestinians.html,2024-08-28T13:07:34+0000,By Erika Solomon,World,
Why a Prosecutor Went Public With Arrest Warrant Requests for Hamas and Israeli Leaders,https://www.nytimes.com/2024/05/22/world/europe/icc-warrants-israel-hamas-khan.html,2024-05-22T18:11:30+0000,By Amanda Taub,World,
Artists and Speakers Withdraw From SXSW Over U.S. Military’s Support of Israel,https://www.nytimes.com/2024/03/13/us/sxsw-army-sponsorship-protest.html,2024-03-13T19:25:37+0000,By Emily Schmall,U.S.,
Campus Crackdowns Have Chilling Effect on Pro-Palestinian Speech,https://www.nytimes.com/2023/12/17/us/campus-crackdowns-have-chilling-effect-on-pro-palestinian-speech.html,2023-12-17T10:00:32+0000,By Vimal Patel and Anna Betts,U.S.,
Hunter College Pulls Screening of Film Critical of Israel,https://www.nytimes.com/2023/11/16/arts/israel-documentary-hunter-cancel.html,2023-11-16T18:39:19+0000,By Jennifer Schuessler,Arts,
"DeSantis, Voicing Support for Israel, Is Asked: What About Palestine?",https://www.nytimes.com/2023/10/12/us/politics/desantis-israel-gaza.html,2023-10-13T00:18:19+0000,By Nicholas Nehamas,U.S.,
Netanyahu Rebuffs U.S. Calls to Start Working Toward Palestinian Statehood,https://www.nytimes.com/2024/01/18/world/middleeast/netanyahu-palestinian-state-israel-gaza-war.html,2024-01-18T19:31:14+0000,By Aaron Boxerman,World,
Israeli Police Raid Palestinian Bookshops in East Jerusalem,https://www.nytimes.com/2025/02/10/world/middleeast/israel-east-jerusalem-bookstore.html,2025-02-10T12:04:19+0000,By Natan Odenheimer and Lara Jakes,World,
Blinken Meets With Abbas to Talk About Gaza’s Future,https://www.nytimes.com/2024/01/10/world/middleeast/blinken-visit-palestinian-gaza-abbas.html,2024-01-10T10:24:34+0000,By Edward Wong,World,
A Careful Dance: How Hezbollah and Israel Have Kept the Lid on a Wider War,https://www.nytimes.com/2024/06/07/world/middleeast/lebanon-israel-hezbollah.html,2024-06-07T04:01:59+0000,"By Neil MacFarquhar, Hwaida Saad, Euan Ward and Diego Ibarra Sanchez",World,
Israel Is Urged to Reverse Course on Palestinian Aid Agency Ban,https://www.nytimes.com/2025/01/28/world/middleeast/unrwa-israel-un.html,2025-01-29T00:31:09+0000,By Farnaz Fassihi,World,
Palestinians Gather in West Bank to Welcome Prisoners Released by Israel,https://www.nytimes.com/2025/01/30/world/middleeast/palestinians-gather-west-bank-welcome-prisoners.html,2025-01-30T22:04:58+0000,By Fatima AbdulKarim and Liam Stack,World,
"The Road to 1948, and the Roots of a Perpetual Conflict",https://www.nytimes.com/interactive/2024/02/01/magazine/israel-founding-palestinian-conflict.html,2024-02-01T15:20:02+0000,By Emily Bazelon,Magazine,
"After Anti-Israel Speeches, a Law School Curtails Graduation Traditions",https://www.nytimes.com/2024/05/21/nyregion/cuny-law-school-commencement-address-canceled.html,2024-05-21T07:00:09+0000,By Maia Coleman,New York,
"A Gaza Doctor Has Died in Israeli Custody, Palestinian Groups Say",https://www.nytimes.com/2024/05/03/world/middleeast/doctor-died-israeli-detention.html,2024-05-03T18:07:52+0000,By Raja Abdulrahim,World,
Noted Palestinian Poet Released by Israel After Two-Day Detention,https://www.nytimes.com/2023/11/21/world/middleeast/abu-toha-palestinian-poet-gaza.html,2023-11-21T13:10:21+0000,By Raja Abdulrahim,World,
Bernie Sanders: Justice for the Palestinians and Security for Israel,https://www.nytimes.com/2023/11/22/opinion/bernie-sanders-israel-gaza.html,2023-11-22T10:03:28+0000,By Bernie Sanders,Opinion,
Israeli Soldiers on Vacation Are Being Investigated for War Crimes in Gaza,https://www.nytimes.com/2025/01/08/world/middleeast/israeli-soldiers-on-vacation-are-being-investigated-for-war-crimes-in-gaza.html,2025-01-08T22:00:03+0000,By Amanda Taub,World,
Soccer’s Governing Body Delays Vote on Palestinian Call to Bar Israel,https://www.nytimes.com/2024/05/17/world/middleeast/fifa-israel-soccer-gaza.html,2024-05-17T09:24:18+0000,By Tariq Panja,World,
"In Congress and on Campuses, ‘From the River to the Sea’ Inflames Debate",https://www.nytimes.com/2023/11/09/us/politics/river-to-the-sea-israel-gaza-palestinians.html,2023-11-09T19:48:05+0000,By Karoun Demirjian and Liam Stack,U.S.,
Pro-Israel and Pro-Palestinian Students at Columbia Hold Side-by-Side Protests,https://www.nytimes.com/2024/10/06/us/oct-7-columbia-protests.html,2024-10-07T18:40:43+0000,By Anvee Bhutani and Sharla Steinman,U.S.,
Turkey’s President Says His Country Could Enter Israel to Help Palestinians,https://www.nytimes.com/2024/07/29/world/middleeast/turkey-israel-erdogan.html,2024-07-29T12:37:57+0000,By Ben Hubbard and Safak Timur,World,
Canada Lawmakers Back Motion Meant to Help Bring Peace to Gaza,https://www.nytimes.com/2024/03/18/world/canada/canada-parliament-gaza-vote.html,2024-03-19T03:31:47+0000,By Ian Austen,World,
Palestinian Bid to Ban Israel From Soccer Is Put Off,https://www.nytimes.com/2024/07/18/sports/fifa-israel-soccer.html,2024-07-18T21:44:12+0000,By Tariq Panja,Sports,
Restoring the Past Won’t Liberate Palestine,https://www.nytimes.com/2024/02/18/opinion/israel-gaza-palestine-decolonization.html,2024-02-18T12:24:54+0000,By Lydia Polgreen,Opinion,
"Spain, Norway and Ireland Recognize Palestinian State, Further Isolating Israel",https://www.nytimes.com/2024/05/22/world/middleeast/spain-norway-ireland-palestinian-statehood-israel.html,2024-05-22T21:18:29+0000,"By Aaron Boxerman, Emma Bubola and Michael Levenson",World,
