headline,web_url,pub_date,byline,section,full_text
"Frustrated by Washington, Pro-Palestinian Activists Take Their Fight to City Hall",https://www.nytimes.com/2023/12/08/us/israel-gaza-ceasefire-local-governments.html,2023-12-08T22:26:41+0000,By Shawn Hubler and Heather Knight,U.S.,
"Cheers, Fears and ‘Le Wokisme’: How the World Sees U.S. Campus Protests",https://www.nytimes.com/2024/05/03/world/europe/campus-protests-rorschach-test.html,2024-05-03T22:06:57+0000,By Catherine Porter,World,
Major Pro-Palestinian March Staged in London as Police Ramp Up Security,https://www.nytimes.com/2023/11/11/world/europe/uk-israel-palestinian-protest.html,2023-11-11T09:15:17+0000,"By Megan Specia, Stephen Castle and Esther Bintliff",World,
"At Indiana University, Protests Only Add to a Year Full of Conflicts",https://www.nytimes.com/2024/05/02/us/indiana-university-protest-encampment.html,2024-05-02T09:05:20+0000,By Mitch Smith and Kevin Williams,U.S.,
What Pope Francis Said to Mayor Eric Adams in Rome,https://www.nytimes.com/2024/05/11/nyregion/eric-adams-pope-francis-vatican.html,2024-05-12T00:24:38+0000,By Jeffery C. Mays,New York,
What International Law Says About Trump’s Proposal to Remove Palestinians From Gaza,https://www.nytimes.com/2025/02/11/world/middleeast/international-law-trump-gaza.html,2025-02-11T18:03:50+0000,By Amanda Taub,World,
Pro-Palestinian Demonstrators Stage Sit-in at Barnard Over Expulsions,https://www.nytimes.com/2025/02/26/nyregion/barnard-college-student-sit-in.html,2025-02-27T04:21:18+0000,By Sharon Otterman,New York,
Turner Prize Goes to Jasleen Kaur Amid Pro-Palestinian Protests,https://www.nytimes.com/2024/12/03/arts/design/turner-prize-jasleen-kaur.html,2024-12-03T19:47:45+0000,By Alex Marshall,Arts,
The Two-State Platitude,https://www.nytimes.com/video/opinion/100000009149444/israel-palestine-two-state-solution.html,2023-11-13T09:50:06+0000,By Amanda Su and Adam Westbrook,Opinion,
Who Decides Penn’s Future: Donors or the University?,https://www.nytimes.com/2023/10/26/us/university-of-pennsylvania-donors-israel-hamas.html,2023-10-26T09:01:39+0000,By Stephanie Saul,U.S.,
The Whitney’s Then-and-Now Project Portrays a Changing City,https://www.nytimes.com/2024/05/22/nyregion/whitney-museum-new-york-scenes.html,2024-05-22T09:02:09+0000,By James Barron,New York,
Pro-Palestinian Activists Occupy Barnard Building for 2nd Time in Week,https://www.nytimes.com/2025/03/05/nyregion/pro-palestinian-protesters-barnard-college.html,2025-03-06T00:48:58+0000,By Sharon Otterman,New York,
Jury Convicts Landlord in Fatal Stabbing of Palestinian American Boy,https://www.nytimes.com/2025/02/28/us/illinois-palestinian-stabbing-verdict.html,2025-02-28T19:51:16+0000,By Robert Chiarito and Mitch Smith,U.S.,
"In Hate Crime Trial, Mother of Slain Palestinian American Boy Testifies",https://www.nytimes.com/2025/02/25/us/palestinian-boy-stabbing-trial-czuba-al-fayoume.html,2025-02-25T22:55:25+0000,By Mitch Smith,U.S.,
"Banning UNRWA Will Sabotage Cease-Fire, Warns Agency’s Leader",https://www.nytimes.com/video/world/middleeast/100000009933368/unrwa-ban-sabotage-gaza-ceasefire.html,2025-01-17T22:38:56+0000,By The Associated Press,World,
W.H.O. Medics Evacuate Gaza Hospital Patients,https://www.nytimes.com/video/world/middleeast/100000009332268/who-evacuates-gaza-hospital.html,2024-02-27T18:55:39+0000,By The New York Times,World,
The Fall of Penn’s President Brings Campus Free Speech to a Crossroads,https://www.nytimes.com/2023/12/14/us/college-campus-free-speech-antisemitism.html,2023-12-14T20:33:35+0000,By Vimal Patel,U.S.,
From Free Speech to Free Palestine: Six Decades of Student Protest,https://www.nytimes.com/2024/05/04/us/college-protests-free-speech.html,2024-05-04T09:03:51+0000,By Richard Fausset,U.S.,
New Training and Tougher Rules: How Colleges Are Trying to Tame Gaza Protests,https://www.nytimes.com/2024/08/24/us/universities-campus-protests-rules.html,2024-08-24T09:04:17+0000,By Alan Blinder,U.S.,
"Activists Deface Portrait of Balfour, Who Supported Jewish Homeland",https://www.nytimes.com/2024/03/08/arts/design/balfour-declaration-portrait-slashed.html,2024-03-08T18:03:33+0000,By Marc Tracy,Arts,
When Saying Nothing Is Saying Something,https://www.nytimes.com/2023/10/20/world/europe/premier-league-israel.html,2023-10-20T15:15:03+0000,By Rory Smith,World,
Stuck at Gaza’s Border With Egypt,https://www.nytimes.com/video/world/middleeast/100000009134945/gaza-border-palestine-israel.html,2023-10-16T18:18:19+0000,"By Soliman Hijjy, Sarah Kerr, Ainara Tiefenthäler and Neil Collier",World,
Police Raid U.C. San Diego Encampment and Arrest 64 Protesters,https://www.nytimes.com/2024/05/06/us/ucsd-campus-protests-arrests.html,2024-05-06T17:02:42+0000,By Nicholas Bogel-Burroughs,U.S.,
The World Needs to Stand by UNRWA,https://www.nytimes.com/2024/02/03/opinion/united-nations-unrwa-palestinians.html,2024-02-03T12:00:20+0000,By Espen Barth Eide,Opinion,
A Quick Look at Hamas,https://www.nytimes.com/2023/10/08/world/middleeast/hamas-military-gaza-explained.html,2023-10-08T08:02:04+0000,By Tiffany May,World,
Behind the Scenes of the Supreme Court,https://www.nytimes.com/2023/12/15/briefing/supreme-court-roe-dobbs.html,2023-12-15T11:49:07+0000,By Jodi Kantor,Briefing,
‘The Ezra Klein Show’ Book Recommendations (2023),https://www.nytimes.com/2024/01/25/opinion/the-ezra-klein-show-book-recommendations-2023.html,2024-01-25T20:53:19+0000,,Opinion,
‘This Is How Hamas Is Seeing This’,https://www.nytimes.com/2023/12/05/opinion/ezra-klein-podcast-tareq-baconi.html,2023-12-05T10:02:32+0000,By ‘The Ezra Klein Show',Opinion,
What Is the West Bank and Who Controls It?,https://www.nytimes.com/2024/08/28/world/middleeast/west-bank-what-where-who.html,2024-08-28T21:29:40+0000,By Aaron Boxerman,World,
‘We Cannot Kill Our Way Out of This Endeavor’,https://www.nytimes.com/2023/11/11/opinion/biden-israel-gaza.html,2023-11-11T12:00:15+0000,By Nicholas Kristof,Opinion,
